fullDisplayName,category,assessment,columnHeader,description
NIH Toolbox Loneliness Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",Loneliness_Unadj,"This self-report measure assesses perceptions of loneliness using a 5-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more loneliness. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of loneliness and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of loneliness."
NIH Toolbox Perceived Hostility Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",PercHostil_Unadj,"This self-report measure assesses perceptions of hostility in daily social interactions (e.g., how often people argue with me, yell at me, or criticize me) using an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of greater perceived hostility. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of perceived hostility and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of perceived hostility. "
NIH Toolbox Perceived Rejection Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",PercReject_Unadj,"This self-report measure assesses perceptions of rejection in daily social interactions (e.g., how often people don’t listen when I ask for help, or do not pay attention to me) using an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of greater perceived rejection. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of perceived rejection and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of perceived rejection. "
NIH Toolbox Emotional Support Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",EmotSupp_Unadj,"This self-report measure assesses emotional support (refers to the perception that people in one’s social network are available to listen to one’s problems with empathy, caring and understanding) through an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more emotional support. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of support,and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of support."
NIH Toolbox Instrumental Support Survey: Unadjusted Scale Score,Emotion,"Social Relationships (Social Support, Companionship, Social Distress, Positive Social Development)",InstruSupp_Unadj,"This self-report measure assesses instrumental support (refers to the perception that people in one’s social network are available to provide material or functional aid in completing daily tasks, if needed) for ages 18-85, using an 8-item fixed-length form. The Unadjusted Scale Score has a Mean of 50, SD of 10. higher scores are indicative of more reported support. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of instrumental supportand scores 1 SD or more above the mean (T ≥ 60) suggest high levels of instrumental support."
NIH Toolbox Perceived Stress Survey: Unadjusted Scale Score,Emotion,"Stress and Self Efficacy (Perceived Stress, Self-Efficacy)",PercStress_Unadj,"This is a self-report measure administered to ages 13-85 in CAT form that accesses how unpredictable, uncontrollable and overloadedrespondents find their lives. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more perceived stress. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of perceived stress and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of perceived stress."
NIH Toolbox Self-Efficacy Survey: Unadjusted Scale Score,Emotion,"Stress and Self Efficacy (Perceived Stress, Self-Efficacy)",SelfEff_Unadj,"This is a self-report measure administered to ages 8-85 in CAT form. It assesses respondents' sense of global self-efficacy (a person’s belief in his/her capacity to manage functioning and have control over meaningful events). The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more general self-efficacy. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of general self-efficacy and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of general self-efficacy."
Estimated intra-cranial volume,FreeSurfer,FreeSurfer Summary Statistics,FS_IntraCranial_Vol,
Brain segmentation volume,FreeSurfer,FreeSurfer Summary Statistics,FS_BrainSeg_Vol,
Brain segmentation volume w/o ventricles,FreeSurfer,FreeSurfer Summary Statistics,FS_BrainSeg_Vol_No_Vent,
Brain segmentation volume w/o ventricles from surface,FreeSurfer,FreeSurfer Summary Statistics,FS_BrainSeg_Vol_No_Vent_Surf,
Left hemisphere cortical gray matter volume,FreeSurfer,FreeSurfer Summary Statistics,FS_LCort_GM_Vol,
Right hemisphere cortical gray matter volume,FreeSurfer,FreeSurfer Summary Statistics,FS_RCort_GM_Vol,
Total cortical gray matter volume,FreeSurfer,FreeSurfer Summary Statistics,FS_TotCort_GM_Vol,
Total subcortical gray matter volume,FreeSurfer,FreeSurfer Summary Statistics,FS_SubCort_GM_Vol,
Total gray matter volume,FreeSurfer,FreeSurfer Summary Statistics,FS_Total_GM_Vol,
Supratentorial volume,FreeSurfer,FreeSurfer Summary Statistics,FS_SupraTentorial_Vol,
Supratentorial w/o ventricals volume,FreeSurfer,FreeSurfer Summary Statistics,FS_SupraTentorial_Vol_No_Vent,
Supratentorial w/o ventricals voxel count,FreeSurfer,FreeSurfer Summary Statistics,FS_SupraTentorial_No_Vent_Voxel_Count,
Left hemisphere cortical white matter volume,FreeSurfer,FreeSurfer Summary Statistics,FS_L_WM_Vol,
Right hemisphere cortical white matter volume,FreeSurfer,FreeSurfer Summary Statistics,FS_R_WM_Vol,
Total cortical white matter volume,FreeSurfer,FreeSurfer Summary Statistics,FS_Tot_WM_Vol,
Mask volume,FreeSurfer,FreeSurfer Summary Statistics,FS_Mask_Vol,
Ratio of BrainSegVol to eTIV,FreeSurfer,FreeSurfer Summary Statistics,FS_BrainSegVol_eTIV_Ratio,
Ratio of MaskVol to eTIV,FreeSurfer,FreeSurfer Summary Statistics,FS_MaskVol_eTIV_Ratio,
Number of defect holes in LH prior to fixing,FreeSurfer,FreeSurfer Summary Statistics,FS_LH_Defect_Holes,
Number of defect holes in RH prior to fixing,FreeSurfer,FreeSurfer Summary Statistics,FS_RH_Defect_Holes,
Total number of defect holes in surfaces prior to fixing,FreeSurfer,FreeSurfer Summary Statistics,FS_Total_Defect_Holes,
Left-Lateral-Ventricle Volume,FreeSurfer,Volume (Subcortical) Segmentation,FS_L_LatVent_Vol,"Neurolex definition:  <a href=\""http://neurolex.org/wiki/Category:Lateral_ventricle\"">Lateral_ventricle</a>"
Left-Inf-Lat-Vent Volume,FreeSurfer,Volume (Subcortical) Segmentation,FS_L_InfLatVent_Vol,"Neurolex definition:  <a href=\""http://neurolex.org/wiki/Category:Inferior_horn_of_the_lateral_ventricle\"">Inferior_horn_of_the_lateral_ventricle</a>"
Left-Cerebellum-White-Matter Volume,FreeSurfer,Volume (Subcortical) Segmentation,FS_L_Cerebellum_WM_Vol,"Neurolex definition:  <a href=\""http://neurolex.org/wiki/Category:Cerebellum\"">Cerebellum</a>"
Left-Cerebellum-Cortex Volume,FreeSurfer,Volume (Subcortical) Segmentation,FS_L_Cerebellum_Cort_Vol,"Neurolex definition:  Neurolex definition:  <a href=\""http://neurolex.org/wiki/Category:Cerebellar_cortex\"">Cerebellar_cortex</a>"
Left-Thalamus-Proper Volume,FreeSurfer,Volume (Subcortical) Segmentation,FS_L_ThalamusProper_Vol,"Neurolex definition:  <a href=\""http://neurolex.org/wiki/Category:Thalamus\"">Thalamus</a>"
Left-Caudate Volume,FreeSurfer,Volume (Subcortical) Segmentation,FS_L_Caudate_Vol,"Neurolex definition:  <a href=\""http://neurolex.org/wiki/Category:Caudate_nucleus\"">Caudate_nucleus</a>"
Left-Putamen Volume,FreeSurfer,Volume (Subcortical) Segmentation,FS_L_Putamen_Vol,"Neurolex definition:  <a href=\""http://neurolex.org/wiki/Category:Putamen\"">Putamen</a>"
Left-Pallidum Volume,FreeSurfer,Volume (Subcortical) Segmentation,FS_L_Pallidum_Vol,"Neurolex definition:  <a href=\""http://neurolex.org/wiki/Category:Globus_pallidus\"">Globus_pallidus</a>"
